Year,Country Code,Publication Count
2005,https://openalex.org/countries/US,866816
2005,https://openalex.org/countries/CN,488567
2005,https://openalex.org/countries/JP,234955
2005,https://openalex.org/countries/GB,204172
2005,https://openalex.org/countries/DE,181072
2005,https://openalex.org/countries/FR,158906
2005,https://openalex.org/countries/CA,112287
2005,https://openalex.org/countries/IT,96178
2005,https://openalex.org/countries/AU,73918
2005,https://openalex.org/countries/ES,73284
2005,https://openalex.org/countries/KR,68322
2005,https://openalex.org/countries/RU,59887
2005,https://openalex.org/countries/IN,59220
2005,https://openalex.org/countries/NL,56767
2005,https://openalex.org/countries/TW,52904
2005,https://openalex.org/countries/BR,52155
2005,https://openalex.org/countries/PL,42588
2005,https://openalex.org/countries/CH,38747
2005,https://openalex.org/countries/SE,38130
2005,https://openalex.org/countries/BE,34547
2006,https://openalex.org/countries/US,901547
2006,https://openalex.org/countries/CN,655744
2006,https://openalex.org/countries/JP,248749
2006,https://openalex.org/countries/GB,231402
2006,https://openalex.org/countries/DE,204130
2006,https://openalex.org/countries/FR,190227
2006,https://openalex.org/countries/CA,124638
2006,https://openalex.org/countries/IT,107948
2006,https://openalex.org/countries/ES,83518
2006,https://openalex.org/countries/AU,82476
2006,https://openalex.org/countries/KR,80942
2006,https://openalex.org/countries/IN,75161
2006,https://openalex.org/countries/RU,66956
2006,https://openalex.org/countries/NL,61118
2006,https://openalex.org/countries/TW,60904
2006,https://openalex.org/countries/BR,60895
2006,https://openalex.org/countries/CH,51917
2006,https://openalex.org/countries/PL,44944
2006,https://openalex.org/countries/SE,40437
2006,https://openalex.org/countries/BE,37618
2007,https://openalex.org/countries/US,888283
2007,https://openalex.org/countries/CN,805323
2007,https://openalex.org/countries/JP,238253
2007,https://openalex.org/countries/GB,230417
2007,https://openalex.org/countries/DE,206445
2007,https://openalex.org/countries/FR,197271
2007,https://openalex.org/countries/CA,125270
2007,https://openalex.org/countries/IT,113540
2007,https://openalex.org/countries/ES,89480
2007,https://openalex.org/countries/IN,86145
2007,https://openalex.org/countries/AU,85140
2007,https://openalex.org/countries/KR,84744
2007,https://openalex.org/countries/RU,69731
2007,https://openalex.org/countries/BR,67215
2007,https://openalex.org/countries/NL,62676
2007,https://openalex.org/countries/TW,61298
2007,https://openalex.org/countries/CH,47157
2007,https://openalex.org/countries/PL,46781
2007,https://openalex.org/countries/SE,40953
2007,https://openalex.org/countries/BE,39196
2008,https://openalex.org/countries/US,950014
2008,https://openalex.org/countries/CN,918245
2008,https://openalex.org/countries/JP,239285
2008,https://openalex.org/countries/GB,239019
